date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2001-09-09 21:00:00,120.18,121.03,121.15,119.81,120.23,121.08,121.2,119.86,0
2001-09-10 21:00:00,121.03,119.48,122.04,118.54,121.08,119.53,122.09,118.59,0
2001-09-11 21:00:00,119.48,119.52,119.9,118.64,119.53,119.57,119.95,118.69,0
2001-09-12 21:00:00,119.52,118.88,119.73,118.6,119.57,118.93,119.78,118.65,0
2001-09-13 21:00:00,118.88,117.54,119.18,116.92,118.93,117.59,119.23,116.97,0
2001-09-16 21:00:00,117.54,117.81,118.33,116.65,117.59,117.86,118.38,116.7,0
2001-09-17 21:00:00,117.81,117.33,118.25,117.1,117.86,117.38,118.3,117.15,0
2001-09-18 21:00:00,117.33,117.6,118.15,117.1,117.38,117.65,118.2,117.15,0
2001-09-19 21:00:00,117.6,116.38,117.69,115.83,117.65,116.43,117.74,115.88,0
2001-09-20 21:00:00,116.38,116.85,117.48,116.09,116.43,116.9,117.53,116.14,0
2001-09-23 21:00:00,116.85,117.49,117.65,116.32,116.9,117.54,117.7,116.37,0
2001-09-24 21:00:00,117.49,117.63,117.79,117.01,117.54,117.68,117.84,117.06,0
2001-09-25 21:00:00,117.63,117.79,118.05,117.11,117.68,117.84,118.1,117.16,0
2001-09-26 21:00:00,117.79,119.7,120.0,117.7,117.84,119.75,120.05,117.75,0
2001-09-27 21:00:00,119.7,119.54,119.79,118.73,119.75,119.59,119.84,118.78,0
2001-09-30 21:00:00,119.54,120.26,120.45,119.32,119.59,120.31,120.5,119.37,0
2001-10-01 21:00:00,120.26,120.81,121.13,120.12,120.31,120.86,121.18,120.17,0
2001-10-02 21:00:00,120.81,120.6,121.46,120.46,120.86,120.65,121.51,120.51,0
2001-10-03 21:00:00,120.6,120.57,120.85,120.21,120.65,120.62,120.9,120.26,0
2001-10-04 21:00:00,120.57,120.28,120.64,119.96,120.62,120.33,120.69,120.01,0
2001-10-07 21:00:00,120.28,119.88,120.32,119.68,120.33,119.93,120.37,119.73,0
2001-10-08 21:00:00,119.88,120.12,120.33,119.73,119.93,120.17,120.38,119.78,0
2001-10-09 21:00:00,120.12,120.38,120.59,119.83,120.17,120.43,120.64,119.88,0
2001-10-10 21:00:00,120.38,121.41,121.69,120.15,120.43,121.46,121.74,120.2,0
2001-10-11 21:00:00,121.41,120.85,121.76,120.72,121.46,120.9,121.81,120.77,0
2001-10-14 21:00:00,120.85,120.82,121.15,120.51,120.9,120.87,121.2,120.56,0
2001-10-15 21:00:00,120.82,121.25,121.89,120.65,120.87,121.3,121.94,120.7,0
2001-10-16 21:00:00,121.25,121.27,121.8,120.83,121.3,121.32,121.85,120.88,0
2001-10-17 21:00:00,121.27,121.12,121.49,120.78,121.32,121.17,121.54,120.83,0
2001-10-18 21:00:00,121.12,121.18,121.33,120.84,121.17,121.23,121.38,120.89,0
2001-10-21 21:00:00,121.18,122.43,122.58,121.15,121.23,122.48,122.63,121.2,0
2001-10-22 21:00:00,122.43,122.59,123.03,122.3,122.48,122.64,123.08,122.35,0
2001-10-23 21:00:00,122.59,122.76,122.97,122.38,122.64,122.81,123.02,122.43,0
2001-10-24 21:00:00,122.76,122.87,123.35,122.47,122.81,122.92,123.4,122.52,0
2001-10-25 21:00:00,122.87,122.74,123.26,122.46,122.92,122.79,123.31,122.51,0
2001-10-28 21:00:00,122.74,121.97,122.79,121.88,122.79,122.02,122.84,121.93,0
2001-10-29 21:00:00,121.97,122.07,122.15,121.58,122.02,122.12,122.2,121.63,0
2001-10-30 21:00:00,122.07,122.42,122.64,121.69,122.12,122.47,122.69,121.74,0
2001-10-31 21:00:00,122.42,121.93,122.54,121.38,122.47,121.98,122.59,121.43,0
2001-11-01 21:00:00,121.93,121.65,122.07,121.47,121.98,121.7,122.12,121.52,0
2001-11-04 21:00:00,121.65,121.69,122.11,121.6,121.7,121.74,122.16,121.65,0
2001-11-05 21:00:00,121.69,121.24,121.77,120.98,121.74,121.29,121.82,121.03,0
2001-11-06 21:00:00,121.24,121.05,121.26,120.73,121.29,121.1,121.31,120.78,0
2001-11-07 21:00:00,121.05,120.07,121.38,119.77,121.1,120.12,121.43,119.82,0
2001-11-08 21:00:00,120.07,120.38,120.51,120.01,120.12,120.43,120.56,120.06,0
2001-11-11 21:00:00,120.38,120.57,120.84,119.75,120.43,120.62,120.89,119.8,0
2001-11-12 21:00:00,120.57,121.65,121.77,120.36,120.62,121.7,121.82,120.41,0
2001-11-13 21:00:00,121.65,121.57,121.99,121.38,121.7,121.62,122.04,121.43,0
2001-11-14 21:00:00,121.57,122.4,122.51,121.49,121.62,122.45,122.56,121.54,0
2001-11-15 21:00:00,122.4,122.8,122.94,122.03,122.45,122.85,122.99,122.08,0
2001-11-18 21:00:00,122.8,123.16,123.5,122.74,122.85,123.21,123.55,122.79,0
2001-11-19 21:00:00,123.16,122.59,123.25,122.51,123.21,122.64,123.3,122.56,0
2001-11-20 21:00:00,122.59,123.18,123.4,122.53,122.64,123.23,123.45,122.58,0
2001-11-21 21:00:00,123.18,123.96,124.03,122.99,123.23,124.01,124.08,123.04,0
2001-11-22 21:00:00,123.96,124.41,124.46,123.73,124.01,124.46,124.51,123.78,0
2001-11-25 21:00:00,124.41,124.01,124.46,123.84,124.46,124.06,124.51,123.89,0
2001-11-26 21:00:00,124.01,123.97,124.56,123.73,124.06,124.02,124.61,123.78,0
2001-11-27 21:00:00,123.97,123.81,123.92,123.81,124.02,123.86,123.97,123.86,0
