Date,Open,High,Low,Close,Adj Close,Volume
2001-11-28 21:00:00,2.2588,2.2617,2.2457,2.2545,2.2545,7975
2001-11-29 21:00:00,2.2545,2.2549,2.2372,2.2391,2.2391,8257
2001-11-30 21:00:00,2.2391,2.2394,2.2378,2.2391,2.2391,14
2001-12-02 21:00:00,2.2391,2.2391,2.2391,2.2391,2.2391,172
2001-12-03 21:00:00,2.2391,2.2481,2.2338,2.2459,2.2459,6505
2001-12-04 21:00:00,2.2459,2.247,2.2305,2.2344,2.2344,6244
2001-12-05 21:00:00,2.2344,2.2406,2.221,2.2312,2.2312,6397
2001-12-06 21:00:00,2.2312,2.2511,2.2235,2.246,2.246,6912
2001-12-07 21:00:00,2.246,2.2579,2.2408,2.2573,2.2573,6840
2001-12-09 21:00:00,2.2573,2.2573,2.2573,2.2573,2.2573,826
2001-12-10 21:00:00,2.2573,2.2662,2.2499,2.2655,2.2655,4281
2001-12-11 21:00:00,2.2655,2.2693,2.2574,2.2629,2.2629,5298
2001-12-12 21:00:00,2.2629,2.2671,2.2517,2.2659,2.2659,6120
2001-12-13 21:00:00,2.2659,2.2699,2.2583,2.2626,2.2626,5801
2001-12-14 21:00:00,2.2626,2.2791,2.2587,2.2683,2.2683,7760
2001-12-15 21:00:00,2.2683,2.2688,2.2668,2.2681,2.2681,8
2001-12-17 21:00:00,2.2681,2.2896,2.264,2.289,2.289,5395
2001-12-18 21:00:00,2.289,2.2955,2.2801,2.2934,2.2934,5523
2001-12-19 21:00:00,2.2934,2.2948,2.2802,2.2852,2.2852,5288
2001-12-20 21:00:00,2.2852,2.2897,2.2712,2.2874,2.2874,4728
2001-12-21 21:00:00,2.2874,2.2974,2.2711,2.2776,2.2776,4862
2001-12-24 21:00:00,2.2776,2.3107,2.276,2.2987,2.2987,4686
2001-12-26 21:00:00,2.2987,2.3289,2.2944,2.3269,2.3269,1867
2001-12-27 21:00:00,2.3269,2.328,2.3031,2.3189,2.3189,6565
2001-12-28 21:00:00,2.3189,2.3198,2.3017,2.3062,2.3062,5249
2001-12-31 21:00:00,2.3062,2.3232,2.2995,2.3151,2.3151,3879
2002-01-02 21:00:00,2.3151,2.3185,2.2999,2.3109,2.3109,6751
2002-01-03 21:00:00,2.3109,2.3111,2.2926,2.2981,2.2981,6707
2002-01-04 21:00:00,2.2981,2.3101,2.2935,2.3082,2.3082,6642
2002-01-07 21:00:00,2.3082,2.3106,2.2851,2.3015,2.3015,6451
2002-01-08 21:00:00,2.3015,2.3098,2.2923,2.2962,2.2962,6667
2002-01-09 21:00:00,2.2962,2.3022,2.2866,2.296,2.296,6585
2002-01-10 21:00:00,2.296,2.3143,2.2935,2.2992,2.2992,6387
2002-01-11 21:00:00,2.2992,2.3149,2.2953,2.31,2.31,6026
2002-01-14 21:00:00,2.31,2.318,2.3075,2.3103,2.3103,4613
2002-01-15 21:00:00,2.3103,2.312,2.2836,2.2874,2.2874,6646
2002-01-16 21:00:00,2.2874,2.2985,2.2798,2.2971,2.2971,6479
2002-01-17 21:00:00,2.2971,2.3184,2.2875,2.3141,2.3141,6681
2002-01-18 21:00:00,2.3141,2.3219,2.3097,2.3165,2.3165,5256
2002-01-21 21:00:00,2.3165,2.3314,2.3114,2.3116,2.3116,3403
2002-01-22 21:00:00,2.3116,2.3161,2.2926,2.2991,2.2991,6522
2002-01-23 21:00:00,2.2991,2.3107,2.2794,2.2812,2.2812,6630
2002-01-24 21:00:00,2.2812,2.2879,2.2714,2.2874,2.2874,6164
2002-01-25 21:00:00,2.2874,2.2875,2.2619,2.271,2.271,7643
2002-01-28 21:00:00,2.271,2.2739,2.252,2.2542,2.2542,6162
2002-01-29 21:00:00,2.2542,2.255,2.2335,2.2531,2.2531,9347
2002-01-30 21:00:00,2.2531,2.2544,2.2372,2.2454,2.2454,6883
2002-01-31 21:00:00,2.2454,2.2545,2.2333,2.2415,2.2415,8275
2002-02-01 21:00:00,2.2415,2.2551,2.2329,2.2536,2.2536,7013
2002-02-04 21:00:00,2.2536,2.2743,2.2451,2.2732,2.2732,5609
2002-02-05 21:00:00,2.2732,2.2752,2.2562,2.2606,2.2606,5815
2002-02-06 21:00:00,2.2606,2.2707,2.2556,2.2681,2.2681,6494
2002-02-07 21:00:00,2.2681,2.2716,2.2495,2.2592,2.2592,8094
2002-02-08 21:00:00,2.2592,2.2673,2.2552,2.261,2.261,6385
2002-02-11 21:00:00,2.261,2.2708,2.2524,2.2611,2.2611,6348
2002-02-12 21:00:00,2.2611,2.2833,2.26,2.2808,2.2808,6727
2002-02-13 21:00:00,2.2808,2.2865,2.2695,2.2701,2.2701,5930
2002-02-14 21:00:00,2.2701,2.2798,2.2641,2.2774,2.2774,5905
2002-02-15 21:00:00,2.2774,2.2816,2.2691,2.2758,2.2758,4928
2002-02-16 21:00:00,2.2758,2.2759,2.2758,2.2758,2.2758,2
2002-02-17 21:00:00,2.2758,2.2758,2.2752,2.2754,2.2754,2
2002-02-18 21:00:00,2.2754,2.2807,2.2703,2.2741,2.2741,2738
2002-02-19 21:00:00,2.2741,2.2782,2.2604,2.2756,2.2756,6093
2002-02-20 21:00:00,2.2756,2.2779,2.2646,2.2665,2.2665,4972
2002-02-21 21:00:00,2.2665,2.2713,2.2609,2.2676,2.2676,5660
2002-02-22 21:00:00,2.2676,2.2896,2.2673,2.2872,2.2872,6048
2002-02-23 21:00:00,2.2872,2.2875,2.2801,2.2825,2.2825,8
2002-02-24 21:00:00,2.2825,2.2885,2.2825,2.2851,2.2851,12
2002-02-25 21:00:00,2.2851,2.288,2.2755,2.2809,2.2809,5002
2002-02-26 21:00:00,2.2809,2.2966,2.2741,2.282,2.282,6459
2002-02-27 21:00:00,2.282,2.2867,2.2735,2.2809,2.2809,6166
2002-02-28 21:00:00,2.2809,2.2842,2.2636,2.2697,2.2697,5912
2002-03-01 21:00:00,2.2697,2.2806,2.2563,2.2586,2.2586,6012
2002-03-02 21:00:00,2.2586,2.2586,2.2577,2.2577,2.2577,8
2002-03-03 21:00:00,2.2577,2.2588,2.2577,2.2585,2.2585,5
2002-03-04 21:00:00,2.2585,2.2651,2.2524,2.2636,2.2636,5107
2002-03-05 21:00:00,2.2636,2.2644,2.2514,2.2614,2.2614,5174
2002-03-06 21:00:00,2.2614,2.2617,2.2466,2.2485,2.2485,6108
2002-03-07 21:00:00,2.2485,2.2626,2.2395,2.2612,2.2612,7668
2002-03-08 21:00:00,2.2612,2.2636,2.2481,2.2568,2.2568,6229
2002-03-09 21:00:00,2.2568,2.2569,2.2565,2.2569,2.2569,11
2002-03-10 21:00:00,2.2569,2.2569,2.2548,2.2548,2.2548,4
2002-03-11 21:00:00,2.2548,2.2571,2.2451,2.2465,2.2465,4910
2002-03-12 21:00:00,2.2465,2.2479,2.2323,2.2461,2.2461,5256
2002-03-13 21:00:00,2.2461,2.2637,2.2341,2.2567,2.2567,6208
2002-03-14 21:00:00,2.2567,2.269,2.2546,2.2587,2.2587,6071
2002-03-15 21:00:00,2.2587,2.2712,2.252,2.2555,2.2555,5651
2002-03-17 21:00:00,2.2555,2.2555,2.2544,2.2544,2.2544,3
2002-03-18 21:00:00,2.2544,2.2639,2.2505,2.259,2.259,4168
2002-03-19 21:00:00,2.259,2.2654,2.249,2.2574,2.2574,5244
2002-03-20 21:00:00,2.2574,2.2584,2.2412,2.257,2.257,5987
2002-03-21 21:00:00,2.257,2.2613,2.2475,2.2508,2.2508,6163
2002-03-22 21:00:00,2.2508,2.2521,2.2424,2.2484,2.2484,5513
2002-03-24 21:00:00,2.2484,2.2484,2.2471,2.2471,2.2471,6
2002-03-25 21:00:00,2.2471,2.2627,2.2441,2.2585,2.2585,3692
2002-03-26 21:00:00,2.2585,2.2751,2.2543,2.2676,2.2676,5894
2002-03-27 21:00:00,2.2676,2.2731,2.2597,2.2706,2.2706,4653
2002-03-28 21:00:00,2.2706,2.2784,2.2645,2.2688,2.2688,5509
2002-03-29 21:00:00,2.2688,2.2744,2.266,2.2726,2.2726,1354
2002-03-31 21:00:00,2.2726,2.2728,2.2726,2.2728,2.2728,1
2002-04-01 21:00:00,2.2728,2.3078,2.2719,2.3011,2.3011,3952
2002-04-02 21:00:00,2.3011,2.3068,2.2847,2.2857,2.2857,5868
2002-04-03 21:00:00,2.2857,2.2895,2.2789,2.2818,2.2818,4756
2002-04-04 21:00:00,2.2818,2.2923,2.2793,2.2846,2.2846,5422
2002-04-05 21:00:00,2.2846,2.2901,2.2754,2.2784,2.2784,4706
2002-04-07 21:00:00,2.2784,2.2784,2.2735,2.2736,2.2736,23
2002-04-08 21:00:00,2.2736,2.289,2.2722,2.282,2.282,4039
2002-04-09 21:00:00,2.282,2.2957,2.2779,2.2913,2.2913,3651
2002-04-10 21:00:00,2.2913,2.2936,2.2849,2.2865,2.2865,3337
2002-04-11 21:00:00,2.2865,2.2876,2.2785,2.2852,2.2852,3675
2002-04-12 21:00:00,2.2852,2.2853,2.277,2.2792,2.2792,3132
2002-04-14 21:00:00,2.2792,2.2797,2.276,2.2779,2.2779,20
2002-04-15 21:00:00,2.2779,2.2879,2.2754,2.2814,2.2814,2839
2002-04-16 21:00:00,2.2814,2.2833,2.2712,2.2781,2.2781,3202
2002-04-17 21:00:00,2.2781,2.2846,2.268,2.2765,2.2765,4802
2002-04-18 21:00:00,2.2765,2.2827,2.2711,2.2788,2.2788,4040
2002-04-19 21:00:00,2.2788,2.2842,2.2727,2.2739,2.2739,3481
2002-04-21 21:00:00,2.2739,2.2739,2.2723,2.2723,2.2723,2
2002-04-22 21:00:00,2.2723,2.2827,2.272,2.2785,2.2785,3146
2002-04-23 21:00:00,2.2785,2.2826,2.2729,2.2757,2.2757,3596
2002-04-24 21:00:00,2.2757,2.2782,2.2689,2.2711,2.2711,3678
2002-04-25 21:00:00,2.2711,2.2795,2.2673,2.2768,2.2768,3794
2002-04-26 21:00:00,2.2768,2.279,2.2662,2.2751,2.2751,3954
2002-04-28 21:00:00,2.2751,2.2774,2.2751,2.2765,2.2765,3
2002-04-29 21:00:00,2.2765,2.2874,2.2747,2.2854,2.2854,2995
2002-04-30 21:00:00,2.2854,2.2876,2.2804,2.2842,2.2842,3807
2002-05-01 21:00:00,2.2842,2.2852,2.2724,2.284,2.284,3800
2002-05-02 21:00:00,2.284,2.2906,2.2824,2.2849,2.2849,4661
2002-05-03 21:00:00,2.2849,2.3011,2.2807,2.2956,2.2956,4661
2002-05-05 21:00:00,2.2956,2.2967,2.2945,2.2945,2.2945,5
2002-05-06 21:00:00,2.2945,2.3043,2.2931,2.3029,2.3029,2940
2002-05-07 21:00:00,2.3029,2.3055,2.2946,2.2993,2.2993,3871
2002-05-08 21:00:00,2.2993,2.2994,2.2817,2.2849,2.2849,4461
2002-05-09 21:00:00,2.2849,2.2909,2.2818,2.284,2.284,3329
2002-05-10 21:00:00,2.284,2.2928,2.2716,2.2795,2.2795,3959
2002-05-11 21:00:00,2.2795,2.2795,2.2794,2.2795,2.2795,4
2002-05-13 21:00:00,2.2795,2.2797,2.2627,2.2632,2.2632,3851
2002-05-14 21:00:00,2.2632,2.2669,2.2535,2.2588,2.2588,4736
2002-05-15 21:00:00,2.2588,2.2746,2.2555,2.2734,2.2734,3784
2002-05-16 21:00:00,2.2734,2.274,2.2594,2.2632,2.2632,4070
2002-05-17 21:00:00,2.2632,2.2671,2.2499,2.2541,2.2541,5018
2002-05-19 21:00:00,2.2541,2.2547,2.2541,2.2547,2.2547,2
2002-05-20 21:00:00,2.2547,2.2606,2.2434,2.2488,2.2488,3966
2002-05-21 21:00:00,2.2488,2.2519,2.2381,2.243,2.243,4633
2002-05-22 21:00:00,2.243,2.2495,2.2333,2.2338,2.2338,5022
2002-05-23 21:00:00,2.2338,2.2439,2.2282,2.234,2.234,4753
2002-05-24 21:00:00,2.234,2.2394,2.2277,2.2348,2.2348,4353
2002-05-27 21:00:00,2.2348,2.2376,2.2313,2.2333,2.2333,3064
2002-05-28 21:00:00,2.2333,2.2406,2.2315,2.2321,2.2321,4393
2002-05-29 21:00:00,2.2321,2.2433,2.2312,2.2431,2.2431,4592
2002-05-30 21:00:00,2.2431,2.255,2.2421,2.2478,2.2478,5112
2002-05-31 21:00:00,2.2478,2.2517,2.2209,2.224,2.224,5741
2002-06-03 21:00:00,2.224,2.2455,2.224,2.2337,2.2337,4111
2002-06-04 21:00:00,2.2337,2.2378,2.2265,2.2335,2.2335,4769
2002-06-05 21:00:00,2.2335,2.2389,2.2289,2.2352,2.2352,4366
2002-06-06 21:00:00,2.2352,2.239,2.228,2.2388,2.2388,4257
2002-06-07 21:00:00,2.2388,2.2405,2.232,2.237,2.237,4402
2002-06-08 21:00:00,2.237,2.2372,2.237,2.237,2.237,6
2002-06-10 21:00:00,2.237,2.2493,2.2317,2.248,2.248,4073
2002-06-11 21:00:00,2.248,2.2647,2.2453,2.2595,2.2595,4736
2002-06-12 21:00:00,2.2595,2.2665,2.2556,2.2577,2.2577,5251
2002-06-13 21:00:00,2.2577,2.2665,2.2553,2.2662,2.2662,5218
2002-06-14 21:00:00,2.2662,2.2953,2.2625,2.2819,2.2819,5662
2002-06-17 21:00:00,2.2819,2.2919,2.2816,2.287,2.287,3938
2002-06-18 21:00:00,2.287,2.3058,2.2847,2.3039,2.3039,5011
2002-06-19 21:00:00,2.3039,2.3055,2.291,2.2967,2.2967,5287
2002-06-20 21:00:00,2.2967,2.299,2.2879,2.2885,2.2885,5362
2002-06-21 21:00:00,2.2885,2.295,2.2711,2.2718,2.2718,5242
2002-06-24 21:00:00,2.2718,2.2885,2.2718,2.2826,2.2826,6675
2002-06-25 21:00:00,2.2826,2.2888,2.2771,2.2854,2.2854,6294
2002-06-26 21:00:00,2.2854,2.3233,2.2824,2.318,2.318,7853
2002-06-27 21:00:00,2.318,2.3191,2.2946,2.3094,2.3094,5449
2002-06-28 21:00:00,2.3094,2.3216,2.3011,2.3214,2.3214,4606
2002-07-01 21:00:00,2.3214,2.3283,2.3161,2.3234,2.3234,3188
2002-07-02 21:00:00,2.3234,2.3441,2.3169,2.3441,2.3441,4227
2002-07-03 21:00:00,2.3441,2.3461,2.3238,2.3374,2.3374,4688
2002-07-04 21:00:00,2.3374,2.3426,2.3296,2.3322,2.3322,2814
2002-07-05 21:00:00,2.3322,2.3351,2.3101,2.32,2.32,3448
2002-07-08 21:00:00,2.32,2.3535,2.3157,2.3534,2.3534,6233
2002-07-09 21:00:00,2.3534,2.3545,2.3378,2.3406,2.3406,4035
2002-07-10 21:00:00,2.3406,2.356,2.3353,2.3525,2.3525,4606
2002-07-11 21:00:00,2.3525,2.3717,2.3409,2.3711,2.3711,5686
2002-07-12 21:00:00,2.3711,2.3791,2.3579,2.3789,2.3789,3321
2002-07-15 21:00:00,2.3789,2.4202,2.376,2.4145,2.4145,4919
2002-07-16 21:00:00,2.4145,2.4262,2.4052,2.4241,2.4241,4914
2002-07-17 21:00:00,2.4241,2.4267,2.4062,2.4179,2.4179,4543
2002-07-18 21:00:00,2.4179,2.4307,2.4045,2.4306,2.4306,3868
2002-07-19 21:00:00,2.4306,2.4383,2.4184,2.4315,2.4315,5129
2002-07-22 21:00:00,2.4315,2.4724,2.4234,2.4708,2.4708,4873
2002-07-23 21:00:00,2.4708,2.4863,2.4588,2.4745,2.4745,6234
2002-07-24 21:00:00,2.4745,2.51,2.4478,2.4572,2.4572,5924
2002-07-25 21:00:00,2.4572,2.4901,2.4559,2.4844,2.4844,5126
2002-07-26 21:00:00,2.4844,2.4965,2.4719,2.4849,2.4849,4079
2002-07-29 21:00:00,2.4849,2.4859,2.446,2.4563,2.4563,4147
2002-07-30 21:00:00,2.4563,2.4792,2.4478,2.4789,2.4789,4365
2002-07-31 21:00:00,2.4789,2.4821,2.4524,2.4766,2.4766,5149
2002-08-01 21:00:00,2.4766,2.4869,2.4518,2.4831,2.4831,4773
2002-08-02 21:00:00,2.4831,2.4987,2.4796,2.4859,2.4859,4428
2002-08-05 21:00:00,2.4859,2.5022,2.4714,2.4912,2.4912,5047
2002-08-06 21:00:00,2.4912,2.4915,2.4316,2.4352,2.4352,5072
2002-08-07 21:00:00,2.4352,2.4472,2.4138,2.4262,2.4262,4233
2002-08-08 21:00:00,2.4262,2.4322,2.3984,2.4181,2.4181,4964
2002-08-09 21:00:00,2.4181,2.4277,2.3911,2.3983,2.3983,5542
2002-08-12 21:00:00,2.3983,2.4146,2.391,2.4096,2.4096,4520
2002-08-13 21:00:00,2.4096,2.4166,2.3914,2.4031,2.4031,5704
2002-08-14 21:00:00,2.4031,2.4188,2.3979,2.4022,2.4022,5598
2002-08-15 21:00:00,2.4022,2.4069,2.3838,2.3935,2.3935,5350
2002-08-16 21:00:00,2.3935,2.4024,2.3863,2.4007,2.4007,3874
2002-08-19 21:00:00,2.4007,2.4072,2.3892,2.4026,2.4026,4063
2002-08-20 21:00:00,2.4026,2.4037,2.3909,2.3961,2.3961,4424
2002-08-21 21:00:00,2.3961,2.4004,2.3788,2.383,2.383,4680
2002-08-22 21:00:00,2.383,2.3853,2.359,2.3725,2.3725,4117
2002-08-23 21:00:00,2.3725,2.3725,2.36,2.367,2.367,3819
2002-08-26 21:00:00,2.367,2.3776,2.3633,2.3662,2.3662,2393
2002-08-27 21:00:00,2.3662,2.3846,2.359,2.3837,2.3837,3776
2002-08-28 21:00:00,2.3837,2.3969,2.3778,2.3924,2.3924,3584
2002-08-29 21:00:00,2.3924,2.4248,2.3869,2.4135,2.4135,3738
2002-08-30 21:00:00,2.4135,2.4221,2.4083,2.4158,2.4158,2804
2002-09-02 21:00:00,2.4158,2.4177,2.4093,2.4093,2.4093,1450
2002-09-03 21:00:00,2.4093,2.4309,2.4093,2.4292,2.4292,2784
2002-09-04 21:00:00,2.4292,2.4561,2.4256,2.4513,2.4513,2487
2002-09-05 21:00:00,2.4513,2.4709,2.4472,2.4597,2.4597,3968
2002-09-06 21:00:00,2.4597,2.4688,2.4266,2.4306,2.4306,2898
2002-09-09 21:00:00,2.4306,2.4409,2.4277,2.4328,2.4328,2164
2002-09-10 21:00:00,2.4328,2.4468,2.4266,2.4454,2.4454,3768
2002-09-11 21:00:00,2.4454,2.4583,2.4372,2.4544,2.4544,3572
2002-09-12 21:00:00,2.4544,2.4783,2.4487,2.4775,2.4775,3595
2002-09-13 21:00:00,2.4775,2.4796,2.4541,2.4548,2.4548,3833
2002-09-16 21:00:00,2.4548,2.4548,2.4325,2.4358,2.4358,3143
