Date,Open,High,Low,Close,Adj Close,Volume
2001-11-28 21:00:00,3.4472,3.4727,3.4368,3.4637,3.4637,6122
2001-11-29 21:00:00,3.4637,3.4637,3.4169,3.4212,3.4212,6927
2001-11-30 21:00:00,3.4212,3.4285,3.4207,3.4281,3.4281,9
2001-12-02 21:00:00,3.4281,3.4281,3.4264,3.4264,3.4264,172
2001-12-03 21:00:00,3.4264,3.4526,3.4145,3.4492,3.4492,5215
2001-12-04 21:00:00,3.4492,3.46,3.4308,3.4558,3.4558,5411
2001-12-05 21:00:00,3.4558,3.4634,3.4051,3.4098,3.4098,5435
2001-12-06 21:00:00,3.4098,3.4422,3.4019,3.4261,3.4261,5988
2001-12-07 21:00:00,3.4261,3.4623,3.4165,3.4608,3.4608,5902
2001-12-09 21:00:00,3.4608,3.4608,3.4608,3.4608,3.4608,826
2001-12-10 21:00:00,3.4608,3.4677,3.4362,3.4644,3.4644,3815
2001-12-11 21:00:00,3.4644,3.4686,3.4294,3.4559,3.4559,4821
2001-12-12 21:00:00,3.4559,3.4559,3.4209,3.4438,3.4438,5765
2001-12-13 21:00:00,3.4438,3.4653,3.4337,3.4361,3.4361,5239
2001-12-14 21:00:00,3.4361,3.4914,3.4354,3.4764,3.4764,6703
2001-12-15 21:00:00,3.4764,3.4772,3.474,3.4761,3.4761,6
2001-12-17 21:00:00,3.4761,3.5138,3.4686,3.5114,3.5114,4671
2001-12-18 21:00:00,3.5114,3.5114,3.4804,3.4986,3.4986,4813
2001-12-19 21:00:00,3.4986,3.5063,3.4725,3.5006,3.5006,4659
2001-12-20 21:00:00,3.5006,3.5343,3.4871,3.5328,3.5328,4320
2001-12-21 21:00:00,3.5328,3.5417,3.4389,3.4578,3.4578,4578
2001-12-24 21:00:00,3.4578,3.495,3.4529,3.4766,3.4766,4102
2001-12-26 21:00:00,3.4766,3.5123,3.4766,3.5043,3.5043,1826
2001-12-27 21:00:00,3.5043,3.5173,3.4801,3.4983,3.4983,5394
2001-12-28 21:00:00,3.4983,3.5222,3.4788,3.4953,3.4953,4266
2001-12-31 21:00:00,3.4953,3.503,3.4828,3.4968,3.4968,3126
2002-01-02 21:00:00,3.4968,3.4987,3.4063,3.4217,3.4217,6473
2002-01-03 21:00:00,3.4217,3.4359,3.3759,3.3912,3.3912,6370
2002-01-04 21:00:00,3.3912,3.3917,3.3536,3.37,3.37,6650
2002-01-07 21:00:00,3.37,3.3846,3.3542,3.372,3.372,6061
2002-01-08 21:00:00,3.372,3.3862,3.3289,3.3432,3.3432,6482
2002-01-09 21:00:00,3.3432,3.3733,3.3412,3.3579,3.3579,6138
2002-01-10 21:00:00,3.3579,3.393,3.355,3.3817,3.3817,6377
2002-01-11 21:00:00,3.3817,3.4221,3.3743,3.4181,3.4181,5377
2002-01-14 21:00:00,3.4181,3.439,3.418,3.4331,3.4331,4165
2002-01-15 21:00:00,3.4331,3.4365,3.402,3.4139,3.4139,5141
2002-01-16 21:00:00,3.4139,3.4318,3.4026,3.4248,3.4248,5588
2002-01-17 21:00:00,3.4248,3.4384,3.399,3.4037,3.4037,5141
2002-01-18 21:00:00,3.4037,3.4161,3.3894,3.3951,3.3951,4378
2002-01-21 21:00:00,3.3951,3.3996,3.3426,3.3472,3.3472,2942
2002-01-22 21:00:00,3.3472,3.3518,3.3185,3.33,3.33,5487
2002-01-23 21:00:00,3.33,3.3467,3.3216,3.3374,3.3374,5694
2002-01-24 21:00:00,3.3374,3.3541,3.3251,3.3429,3.3429,5335
2002-01-25 21:00:00,3.3429,3.352,3.3208,3.3247,3.3247,6945
2002-01-28 21:00:00,3.3247,3.3489,3.319,3.3371,3.3371,5448
